1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.478071	0.000000	0.479478	0.033439	271.9
1	-0.466918	0.000000	0.479478	0.036328	2.1
2	-0.497193	0.000000	0.479478	0.035414	1.7
3	-0.483537	0.000000	0.479478	0.029639	1.8
4	-0.476717	0.000000	0.479478	0.040332	1.8
5	-0.481086	0.000000	0.479478	0.029852	1.5
6	-0.472684	0.000000	0.479478	0.024432	1.5
7	-0.454067	0.758161	0.462771	0.031527	1.6
8	-0.441162	0.000000	0.479478	0.031723	2.8
9	-0.464771	0.000000	0.479478	0.054420	1.9
10	-0.479443	0.000000	0.479478	0.039002	1.6
11	-0.470305	0.000000	0.479478	0.022766	1.6
12	-0.472848	0.000000	0.479478	0.053972	1.9
13	-0.480440	0.000000	0.479478	0.020117	1.6
14	-0.491464	0.000000	0.479478	0.035120	1.6
15	-0.460297	0.688740	0.464252	0.052335	2.5
16	-0.475155	0.000000	0.479478	0.055803	1.8
17	-0.475827	0.000000	0.479478	0.049690	1.7
18	-0.447735	0.000000	0.479478	0.023009	1.6
19	-0.456700	0.000000	0.479478	0.034859	1.8
20	-0.445188	0.257505	0.473670	0.033850	1.5
21	-0.471061	0.000000	0.479478	0.039696	1.6
22	-0.436716	0.000000	0.479478	0.024137	1.9
23	-0.463307	0.000000	0.479478	0.043065	1.8
24	-0.506252	0.999915	0.457686	0.034795	1.7
25	-0.488339	1.994637	0.437887	0.050004	1.6
26	-0.478676	1.157963	0.454421	0.037370	2.0
27	-0.479018	2.157963	0.434799	0.032819	1.6
28	-0.461927	3.157963	0.416800	0.037030	1.4
29	-0.473997	2.255455	0.432976	0.032319	1.5
30	-0.451436	1.379737	0.449918	0.050529	1.6
31	-0.460907	2.379737	0.430674	0.011998	1.7
32	-0.485494	3.379694	0.413010	0.042715	1.5
33	-0.482933	2.488201	0.428685	0.039271	1.9
34	-0.464935	3.488201	0.411180	0.015762	1.8
35	-0.460779	4.487481	0.395059	0.042534	1.6
36	-0.479307	4.088461	0.401342	0.080963	1.7
37	-0.488081	3.185954	0.416318	0.063043	1.6
38	-0.470325	4.185954	0.399788	0.040446	2.3
39	-0.456005	3.283446	0.414647	0.036632	1.7
40	-0.462218	4.283446	0.398247	0.025746	1.5
41	-0.430947	3.384007	0.412937	0.020282	2.2
42	-0.484161	2.497563	0.428515	0.028859	1.7
43	-0.445167	3.490923	0.411134	0.037805	1.5
44	-0.454115	2.588467	0.426863	0.021339	1.5
45	-0.495328	1.773893	0.442131	0.048480	1.5
46	-0.462069	2.770856	0.423588	0.039259	2.6
47	-0.469316	3.770856	0.406488	0.027941	1.6
48	-0.480232	2.879252	0.421665	0.032430	1.6
49	-0.474465	3.877090	0.404752	0.027304	1.7
50	-0.485687	2.977009	0.419946	0.059076	1.8
51	-0.484722	3.977009	0.403133	0.041778	1.9
52	-0.436546	3.074502	0.418245	0.022400	1.6
53	-0.463803	2.172012	0.434535	0.048183	1.5
54	-0.481523	3.097686	0.417843	0.050900	2.4
55	-0.458467	4.097678	0.401194	0.040042	1.6
56	-0.478848	3.195171	0.416159	0.036981	1.8
57	-0.460064	2.295596	0.432230	0.020197	1.7
58	-0.462731	1.404235	0.449426	0.046232	1.9
