1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.428478	0.000000	0.806462	0.015253	283.3
1	-0.428453	0.000000	0.806462	0.076246	1.8
2	-0.441391	0.000000	0.806462	0.043756	1.7
3	-0.431201	0.000000	0.806462	0.047366	1.6
4	-0.419082	0.000000	0.806462	0.056390	2.1
5	-0.415292	0.000000	0.806462	0.055522	2.7
6	-0.433735	0.000000	0.806462	0.042582	1.7
7	-0.398464	0.000000	0.806462	0.048959	1.6
8	-0.404203	0.000000	0.806462	0.038560	1.5
9	-0.430506	0.000000	0.806462	0.035717	1.7
10	-0.440458	0.000000	0.806462	0.042721	1.6
11	-0.414442	0.000000	0.806462	0.032283	1.6
12	-0.418273	0.000000	0.806462	0.037018	2.3
13	-0.437059	0.000000	0.806462	0.035108	2.4
14	-0.429366	0.000000	0.806462	0.029849	1.6
15	-0.435301	0.000000	0.806462	0.040186	1.6
16	-0.459662	0.000000	0.806462	0.024902	1.7
17	-0.435014	0.000000	0.806462	0.031500	1.8
18	-0.468040	0.706987	0.780196	0.046007	1.6
19	-0.418195	1.120871	0.765598	0.022276	2.2
20	-0.430897	2.066241	0.734220	0.039545	2.4
21	-0.454718	1.766936	0.743873	0.046426	2.7
22	-0.439072	1.412963	0.755621	0.030925	1.8
23	-0.438847	2.412963	0.723347	0.031671	1.8
24	-0.409839	2.058989	0.734451	0.030356	1.8
25	-0.417346	3.058989	0.703924	0.027742	2.0
26	-0.414828	4.054653	0.675950	0.005323	2.0
27	-0.432011	3.777766	0.683504	0.022727	1.7
28	-0.416148	3.638876	0.687357	0.033472	1.6
29	-0.430525	3.285522	0.697358	0.021160	1.6
30	-0.451880	4.272209	0.670131	0.011463	2.0
31	-0.420949	4.946765	0.652710	0.025031	1.7
32	-0.433980	5.928551	0.628912	0.024127	1.6
33	-0.437209	5.574618	0.637289	0.011569	2.9
34	-0.439102	5.767238	0.632703	0.041827	1.8
35	-0.474383	5.565169	0.637515	0.011546	1.6
36	-0.409208	5.211375	0.646120	0.014798	1.6
37	-0.448422	4.913161	0.653556	0.011642	1.6
38	-0.411171	5.315120	0.643573	0.020230	1.8
39	-0.440941	6.234496	0.621847	0.012941	1.8
40	-0.420346	6.395614	0.618190	0.026026	1.7
41	-0.411475	7.327577	0.597852	0.035156	4.1
42	-0.454500	8.327577	0.577467	0.020555	1.8
43	-0.397594	9.327570	0.558426	0.022327	1.8
44	-0.424229	10.288429	0.541277	0.019778	1.7
45	-0.413261	9.938423	0.547400	0.018126	1.6
46	-0.425639	9.618054	0.553128	0.015110	1.6
47	-0.428532	9.348550	0.558040	0.030236	1.6
48	-0.462713	9.000707	0.564510	0.032144	2.6
49	-0.456377	8.664003	0.570918	0.045133	1.9
50	-0.432469	8.693902	0.570343	0.028530	1.6
51	-0.459417	8.339928	0.577224	0.045007	1.5
52	-0.433199	7.985955	0.584273	0.041377	1.5
53	-0.446296	7.631981	0.591496	0.031861	1.7
54	-0.438038	7.278030	0.598900	0.029995	1.6
55	-0.432450	8.247352	0.579051	0.046187	1.5
56	-0.429001	7.894654	0.586119	0.053872	2.8
57	-0.443534	7.540680	0.593388	0.053452	1.7
58	-0.424972	7.186707	0.600840	0.031057	1.9
59	-0.435486	6.832733	0.608481	0.055063	1.6
60	-0.435798	6.478787	0.616319	0.051124	1.5
61	-0.430186	6.124814	0.624362	0.041260	1.5
62	-0.422255	5.770840	0.632617	0.037136	1.6
